/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_ur5e.hdf5
232,241,212,206,193,156,164,165,135,135,155,138,248,211,241,138,164,165,138,211,206,241,241,248,212,156,135,232,135,138,193,155
232,241,233,194,241,156,139,155,155,155,155,135,214,214,232,155,139,155,135,214,194,241,232,214,233,156,155,232,155,155,241,155
260,260,212,212,241,136,161,160,155,135,171,155,205,241,205,165,161,160,155,241,212,260,205,205,212,136,135,260,155,165,241,171
241,232,233,200,232,161,166,155,155,135,155,138,248,241,260,165,166,155,138,241,200,232,260,248,233,161,135,241,155,165,232,155
260,214,206,206,205,136,164,155,155,155,163,134,193,232,232,161,164,155,134,232,206,214,232,193,206,136,155,260,155,161,205,163
211,232,194,194,248,156,156,155,160,163,134,155,211,241,241,155,156,155,155,241,194,232,241,211,194,156,163,211,160,155,248,134
211,232,200,242,248,139,156,135,155,161,155,155,211,248,260,163,156,135,155,248,242,232,260,211,200,139,161,211,155,163,248,155
241,232,233,194,214,162,136,138,161,160,160,165,241,241,248,155,136,138,165,241,194,232,248,241,233,162,160,241,161,155,214,160
232,248,242,206,241,139,139,160,155,155,155,171,241,241,260,135,139,160,171,241,206,248,260,241,242,139,155,232,155,135,241,155
260,232,215,233,241,166,166,155,163,155,171,138,214,232,232,163,166,155,138,232,233,232,232,214,215,166,155,260,163,163,241,171
232,248,212,242,248,156,166,160,163,163,155,135,241,260,241,135,166,160,135,260,242,248,241,241,212,156,163,232,163,135,248,155
205,260,206,249,241,172,164,155,155,134,163,134,248,241,241,138,164,155,134,241,249,260,241,248,206,172,134,205,155,138,241,163
260,248,242,212,214,135,139,134,155,160,165,138,193,241,232,155,139,134,138,241,212,248,232,193,242,135,160,260,155,155,214,165
260,241,194,194,248,164,135,163,155,134,134,135,248,248,232,138,135,163,135,248,194,241,232,248,194,164,134,260,155,138,248,134
248,232,212,215,241,164,139,161,155,135,161,171,193,260,232,155,139,161,171,260,215,232,232,193,212,164,135,248,155,155,241,161
260,232,233,212,214,166,136,163,161,134,138,155,248,214,260,138,136,163,155,214,212,232,260,248,233,166,134,260,161,138,214,138
248,211,233,194,260,172,136,155,134,134,163,155,260,232,232,163,136,155,155,232,194,211,232,260,233,172,134,248,134,163,260,163
232,241,261,206,205,166,139,171,165,138,138,135,199,241,211,165,139,171,135,241,206,241,211,199,261,166,138,232,165,165,205,138
260,232,194,233,248,156,166,160,163,134,135,138,214,232,232,161,166,160,138,232,233,232,232,214,194,156,134,260,163,161,248,135
214,199,200,200,211,156,162,165,135,135,160,165,241,241,214,135,162,165,165,241,200,199,214,241,200,156,135,214,135,135,211,160
260,211,233,212,205,135,139,155,138,155,155,165,260,193,248,161,139,155,165,193,212,211,248,260,233,135,155,260,138,161,205,155
211,232,200,233,260,136,166,155,155,134,155,138,248,205,232,155,166,155,138,205,233,232,232,248,200,136,134,211,155,155,260,155
199,193,261,233,241,164,156,160,155,171,135,165,193,211,232,138,156,160,165,211,233,193,232,193,261,164,171,199,155,138,241,135
248,241,212,261,260,161,156,171,165,163,135,155,211,232,241,135,156,171,155,232,261,241,241,211,212,161,163,248,165,135,260,135
193,241,212,233,241,166,136,138,155,161,155,165,248,232,232,163,136,138,165,232,233,241,232,248,212,166,161,193,155,163,241,155
232,241,200,200,211,136,156,155,155,155,155,134,205,241,248,135,156,155,134,241,200,241,248,205,200,136,155,232,155,135,211,155
241,211,261,200,205,136,136,134,134,171,134,135,205,260,214,161,136,134,135,260,200,211,214,205,261,136,171,241,134,161,205,134
248,232,233,212,260,172,156,155,155,155,155,171,193,241,260,155,156,155,171,241,212,232,260,193,233,172,155,248,155,155,260,155
214,248,215,233,260,166,166,134,155,165,134,135,241,205,193,155,166,134,135,205,233,248,193,241,215,166,165,214,155,155,260,134
205,232,200,215,205,161,139,161,134,135,161,165,193,241,248,134,139,161,165,241,215,232,248,193,200,161,135,205,134,134,205,161
211,232,212,215,241,161,156,155,155,163,155,135,260,232,248,138,156,155,135,232,215,232,248,260,212,161,163,211,155,138,241,155
232,193,194,242,260,156,139,160,161,155,163,165,193,260,232,135,139,160,165,260,242,193,232,193,194,156,155,232,161,135,260,163
232,232,233,242,260,156,136,138,165,135,155,155,260,211,232,135,136,138,155,211,242,232,232,260,233,156,135,232,165,135,260,155
260,193,215,233,260,139,136,163,135,165,138,163,214,232,232,165,136,163,163,232,233,193,232,214,215,139,165,260,135,165,260,138
248,214,233,242,260,172,172,161,155,134,155,165,232,232,241,163,172,161,165,232,242,214,241,232,233,172,134,248,155,163,260,155
260,193,215,212,193,161,164,135,161,134,135,165,260,241,214,135,164,135,165,241,212,193,214,260,215,161,134,260,161,135,193,135
214,260,249,200,248,156,139,155,155,171,155,134,248,241,260,155,139,155,134,241,200,260,260,248,249,156,171,214,155,155,248,155
260,232,233,215,260,162,135,138,165,161,161,135,241,260,241,165,135,138,135,260,215,232,241,241,233,162,161,260,165,165,260,161
232,232,194,200,260,135,161,163,155,155,134,171,241,241,232,161,161,163,171,241,200,232,232,241,194,135,155,232,155,161,260,134
232,211,206,261,193,166,135,155,160,165,163,135,214,241,232,163,135,155,135,241,261,211,232,214,206,166,165,232,160,163,193,163
232,248,242,233,193,166,139,155,155,134,165,155,193,241,241,135,139,155,155,241,233,248,241,193,242,166,134,232,155,135,193,165
232,241,249,206,248,172,166,165,155,163,160,155,232,232,260,155,166,165,155,232,206,241,260,232,249,172,163,232,155,155,248,160
248,241,261,233,232,136,156,155,165,135,165,134,241,241,260,155,156,155,134,241,233,241,260,241,261,136,135,248,165,155,232,165
248,241,233,206,248,135,166,155,155,134,155,135,205,248,232,163,166,155,135,248,206,241,232,205,233,135,134,248,155,163,248,155
260,241,249,194,193,164,135,160,134,138,134,135,241,241,214,135,135,160,135,241,194,241,214,241,249,164,138,260,134,135,193,134
193,232,215,233,241,161,136,161,161,134,155,134,211,232,232,155,136,161,134,232,233,232,232,211,215,161,134,193,161,155,241,155
241,248,233,194,248,139,166,155,163,165,155,138,211,260,260,138,166,155,138,260,194,248,260,211,233,139,165,241,163,138,248,155
199,211,194,206,260,166,166,138,163,155,163,171,241,232,214,160,166,138,171,232,206,211,214,241,194,166,155,199,163,160,260,163
232,260,233,194,205,166,139,161,155,160,171,135,241,260,211,135,139,161,135,260,194,260,211,241,233,166,160,232,155,135,205,171
232,241,233,212,214,139,136,171,163,163,165,134,193,211,260,165,136,171,134,211,212,241,260,193,233,139,163,232,163,165,214,165
241,232,215,212,232,156,156,171,155,165,160,165,193,260,241,155,156,171,165,260,212,232,241,193,215,156,165,241,155,155,232,160
211,232,206,215,193,139,136,161,155,165,135,165,199,232,232,163,136,161,165,232,215,232,232,199,206,139,165,211,155,163,193,135
260,260,194,194,241,161,139,160,155,155,165,163,211,211,211,160,139,160,163,211,194,260,211,211,194,161,155,260,155,160,241,165
241,260,215,261,248,156,156,163,135,155,160,155,260,211,214,134,156,163,155,211,261,260,214,260,215,156,155,241,135,134,248,160
232,211,212,194,214,139,166,155,163,163,163,155,260,211,248,138,166,155,155,211,194,211,248,260,212,139,163,232,163,138,214,163
260,260,206,249,260,162,139,138,163,171,165,165,199,232,232,165,139,138,165,232,249,260,232,199,206,162,171,260,163,165,260,165
260,260,242,200,214,161,172,135,155,135,155,155,260,241,260,155,172,135,155,241,200,260,260,260,242,161,135,260,155,155,214,155
232,232,206,215,205,135,136,161,160,155,161,171,205,232,248,155,136,161,171,232,215,232,248,205,206,135,155,232,160,155,205,161
260,260,233,261,193,135,156,135,135,160,134,138,214,260,232,138,156,135,138,260,261,260,232,214,233,135,160,260,135,138,193,134
214,205,194,261,248,136,156,155,155,155,171,135,211,260,260,138,156,155,135,260,261,205,260,211,194,136,155,214,155,138,248,171
260,241,200,212,248,162,136,138,163,160,135,165,199,248,260,138,136,138,165,248,212,241,260,199,200,162,160,260,163,138,248,135
248,260,249,194,260,136,136,155,135,165,155,155,248,241,214,155,136,155,155,241,194,260,214,248,249,136,165,248,135,155,260,155
232,232,194,233,260,136,164,138,171,155,161,138,214,241,232,165,164,138,138,241,233,232,232,214,194,136,155,232,171,165,260,161
232,260,215,261,241,156,156,155,135,155,135,155,260,193,214,163,156,155,155,193,261,260,214,260,215,156,155,232,135,163,241,135
232,232,194,233,193,135,136,135,161,135,134,138,241,232,232,134,136,135,138,232,233,232,232,241,194,135,135,232,161,134,193,134
241,232,261,233,241,166,135,134,161,160,155,155,241,211,232,135,135,134,155,211,233,232,232,241,261,166,160,241,161,135,241,155
232,232,194,249,232,136,135,155,155,135,155,163,260,232,248,161,135,155,163,232,249,232,248,260,194,136,135,232,155,161,232,155
232,260,233,206,241,139,166,134,155,160,135,155,232,193,232,155,166,134,155,193,206,260,232,232,233,139,160,232,155,155,241,135
248,211,212,261,248,156,156,134,160,155,161,155,232,248,260,138,156,134,155,248,261,211,260,232,212,156,155,248,160,138,248,161
248,211,215,249,199,136,139,155,161,134,135,135,199,214,232,138,139,155,135,214,249,211,232,199,215,136,134,248,161,138,199,135
205,260,215,200,248,156,156,155,155,134,135,171,211,232,232,165,156,155,171,232,200,260,232,211,215,156,134,205,155,165,248,135
248,241,200,212,241,156,136,138,135,165,161,155,260,248,260,161,136,138,155,248,212,241,260,260,200,156,165,248,135,161,241,161
232,232,212,233,193,139,166,165,155,155,155,165,211,241,214,135,166,165,165,241,233,232,214,211,212,139,155,232,155,135,193,155
232,232,194,200,248,139,156,155,138,135,165,135,260,241,241,155,156,155,135,241,200,232,241,260,194,139,135,232,138,155,248,165
248,232,261,233,214,156,161,135,155,155,134,155,214,241,260,171,161,135,155,241,233,232,260,214,261,156,155,248,155,171,214,134
248,241,194,261,214,156,162,155,160,160,155,138,232,241,232,138,162,155,138,241,261,241,232,232,194,156,160,248,160,138,214,155
232,232,212,212,214,139,139,161,155,155,134,171,241,260,232,161,139,161,171,260,212,232,232,241,212,139,155,232,155,161,214,134
232,193,200,206,241,166,164,138,165,160,155,135,193,193,260,161,164,138,135,193,206,193,260,193,200,166,160,232,165,161,241,155
232,248,233,215,248,161,164,155,134,160,155,171,205,232,248,155,164,155,171,232,215,248,248,205,233,161,160,232,134,155,248,155
260,248,206,194,260,172,139,138,155,155,161,165,260,211,241,138,139,138,165,211,194,248,241,260,206,172,155,260,155,138,260,161
232,241,242,261,232,166,162,134,165,155,155,161,241,241,232,161,162,134,161,241,261,241,232,241,242,166,155,232,165,161,232,155
211,193,261,212,211,172,164,160,135,161,155,135,205,248,232,138,164,160,135,248,212,193,232,205,261,172,161,211,135,138,211,155
232,232,242,215,211,136,156,155,135,134,165,138,232,260,232,138,156,155,138,260,215,232,232,232,242,136,134,232,135,138,211,165
232,232,206,249,260,135,139,155,161,160,155,138,241,193,248,161,139,155,138,193,249,232,248,241,206,135,160,232,161,161,260,155
260,211,261,242,193,172,156,138,165,155,155,155,248,193,232,138,156,138,155,193,242,211,232,248,261,172,155,260,165,138,193,155
232,248,206,194,260,135,166,163,163,155,134,134,248,248,214,155,166,163,134,248,194,248,214,248,206,135,155,232,163,155,260,134
248,232,206,242,211,139,166,160,155,165,135,138,193,232,232,135,166,160,138,232,242,232,232,193,206,139,165,248,155,135,211,135
241,260,200,261,241,135,156,160,135,134,155,163,241,232,241,135,156,160,163,232,261,260,241,241,200,135,134,241,135,135,241,155
205,232,242,261,248,172,139,155,171,165,163,135,211,232,214,155,139,155,135,232,261,232,214,211,242,172,165,205,171,155,248,163
248,241,194,249,205,139,162,155,163,171,165,171,248,211,193,161,162,155,171,211,249,241,193,248,194,139,171,248,163,161,205,165
241,211,242,261,248,139,136,155,163,160,161,138,260,211,232,155,136,155,138,211,261,211,232,260,242,139,160,241,163,155,248,161
205,232,215,261,232,161,156,155,155,138,163,165,241,214,214,155,156,155,165,214,261,232,214,241,215,161,138,205,155,155,232,163
232,241,233,233,248,161,139,155,161,135,134,163,241,193,232,155,139,155,163,193,233,241,232,241,233,161,135,232,161,155,248,134
260,248,249,233,205,172,166,155,161,134,155,155,205,241,193,138,166,155,155,241,233,248,193,205,249,172,134,260,161,138,205,155
232,214,261,200,248,139,166,135,155,163,163,171,241,260,232,155,166,135,171,260,200,214,232,241,261,139,163,232,155,155,248,163
248,241,200,194,248,172,172,134,171,135,163,135,214,260,232,138,172,134,135,260,194,241,232,214,200,172,135,248,171,138,248,163
232,248,194,215,241,166,135,155,161,135,160,135,211,260,214,163,135,155,135,260,215,248,214,211,194,166,135,232,161,163,241,160
232,211,200,215,248,166,161,138,135,135,155,134,205,205,232,163,161,138,134,205,215,211,232,205,200,166,135,232,135,163,248,155
211,260,261,215,248,156,166,138,163,161,155,135,193,248,214,155,166,138,135,248,215,260,214,193,261,156,161,211,163,155,248,155
248,232,194,233,248,139,162,163,135,155,135,165,248,214,241,163,162,163,165,214,233,232,241,248,194,139,155,248,135,163,248,135
232,232,215,206,260,172,164,160,155,155,135,138,248,241,241,135,164,160,138,241,206,232,241,248,215,172,155,232,155,135,260,135
232,241,194,233,205,156,161,134,165,155,165,165,211,241,260,160,161,134,165,241,233,241,260,211,194,156,155,232,165,160,205,165
241,232,212,215,211,139,156,163,155,155,134,155,193,260,232,135,156,163,155,260,215,232,232,193,212,139,155,241,155,135,211,134
260,205,212,233,205,164,139,160,171,161,161,165,260,241,260,155,139,160,165,241,233,205,260,260,212,164,161,260,171,155,205,161
211,260,206,249,241,166,161,134,161,135,161,155,248,260,232,135,161,134,155,260,249,260,232,248,206,166,135,211,161,135,241,161
232,241,215,200,241,164,156,138,134,138,155,138,241,241,260,165,156,138,138,241,200,241,260,241,215,164,138,232,134,165,241,155
205,232,212,212,260,136,161,138,160,165,155,171,205,241,232,135,161,138,171,241,212,232,232,205,212,136,165,205,160,135,260,155
214,260,206,212,241,135,166,134,155,155,161,135,211,260,260,155,166,134,135,260,212,260,260,211,206,135,155,214,155,155,241,161
260,248,200,215,241,166,166,138,155,155,155,138,211,214,241,155,166,138,138,214,215,248,241,211,200,166,155,260,155,155,241,155
241,241,261,200,199,162,161,165,160,165,161,155,260,241,241,138,161,165,155,241,200,241,241,260,261,162,165,241,160,138,199,161
241,193,212,194,260,166,139,134,135,155,155,134,205,214,232,138,139,134,134,214,194,193,232,205,212,166,155,241,135,138,260,155
214,260,242,206,248,139,161,163,134,155,135,165,241,260,232,161,161,163,165,260,206,260,232,241,242,139,155,214,134,161,248,135
260,241,233,206,205,136,156,155,155,134,171,165,193,248,248,163,156,155,165,248,206,241,248,193,233,136,134,260,155,163,205,171
260,260,233,212,214,139,164,163,138,163,155,138,211,241,260,155,164,163,138,241,212,260,260,211,233,139,163,260,138,155,214,155
248,248,212,233,248,135,156,155,155,165,155,155,193,260,241,165,156,155,155,260,233,248,241,193,212,135,165,248,155,165,248,155
